eighth,"(32.872170599876476, -117.24236212576339)"
revelle,"(32.87549842936363, -117.24185206521258)"
muir,"(32.87862074208326, -117.24199908929927)"
sixth,"(32.88093533596453, -117.24207768929914)"
marshall,"(32.88332447048564, -117.2431286874465)"
warren,"(32.88250999892929, -117.23423247088701)"
roosevelt,"(32.88629047401013, -117.24216105675765)"
seventh,"(32.88824105411043, -117.24204057210201)"
pepper canyon,"(32.87855815307487, -117.23182190956248)"
rita,"(32.8731998381307, -117.23508676165143)"
costa,"(32.87052184118228, -117.21678300031834)"
regents,"(32.87445867128256, -117.21711298933135)"
la regencia,"(32.8643885892427, -117.2247437382329)"
